ID,MJW,sex,SVL,tail,headwidth,jawlength,casqheight,snoutcasque,snoutcasque2,righthorn,righthorn2,lefthorn,lefthorn2,bottomhorn,bottomhorn2
2,825,M,104,91,14.29,23.44,19.09,29.67,30.08,15.44,17.78,13.65,15.52,13.6,15.83
9,821,M,106,89,14.67,24.1,18.98,30.18,31.34,11.93,12.85,12.47,13.68,12.51,13.12
40,850,M,115,91,14.91,25.12,18.84,30.45,31.6,14.28,15.09,13.64,14.71,14.59,16.75
44,845,F,128,110,18.55,29.04,22.76,37.36,,,,,,,
51,829,M,80,63,11.01,18,13.93,22.28,22.99,4.95,6.28,5.95,6.82,6.74,8.05
67,824,F,107,99,15.06,24.57,19.73,31.08,,,,,,,
70,871,F,105,75,15.4,25.28,19.33,31.13,,,,,,,
73,836,M,120,115,16.63,27.25,22.31,34.39,3.88,20.77,22.47,20.86,22.32,21.82,23.48
78,860,M,103,86,14.44,23.53,19.13,29.42,30.21,15.8,16.64,17.3,18.79,17.11,18.54
79,844,F,105,93,14.43,23.44,17.95,29.32,,,,,,,
80,833,F,104,88,14.35,23.24,19.24,30.42,,,,,,,
81,864,M,115,101,14.78,24.07,20.34,30.19,31.05,14.08,15.56,13.14,14.38,13.4,14.89
82,849,F,112,99,16,25.39,22.34,32.5,,,,,,,
83,818,F,83,72,11.34,19.78,15.05,24.48,,,,,,,
84,857,F,110,90,14.96,23.88,19.48,30.55,,,,,,,
85,855,M,104,94,14.44,23.94,18.77,28.93,30.21,13.79,14.82,13.89,14.81,14.61,15.22
89,814,M,110,104,19.38,24.62,19.06,30.11,30.93,13.36,14.67,13.79,15.38,16.3,18.48
90,846,M,120,103,16.29,25.77,21.7,30.03,32.98,14.44,,14.92,,16.74,
92,808,M,93,82,12.98,22.02,16.7,27.4,28.05,11.75,13.22,11.07,12.37,9.66,11.56
95,811,F,92,75,12.93,20.72,16.48,27.72,,,,,,,
99,828,M,99,91,13.61,22.73,18.73,28.74,29.24,16.94,17.94,16.04,17.12,17.03,18.32
101,840,M,117,109,17.21,27.16,23,33.78,34.4,18.77,20.18,16.21,18.24,17.06,19.59
103,856,M,95,76,14.05,23.63,18.5,29.2,29.61,10.28,11.2,10.4,11.64,9.55,10.62
104,863,M,113,102,15.29,22.95,19.42,30.42,30.91,13.98,15.26,14.15,15.55,14.28,15.94
440,877,F,95,84,13.86,20.62,18.02,26.82,,,,,,,
6531,,M,92,79,13.55,20.91,17.22,24.73,26.52,9.1,,9.98,,10.78,
6532,,M,80,70,11.36,24.32,15.69,22.65,24.58,3.69,,2.91,,2.93,
8412,,M,134,142,20.22,29.28,29.88,36.65,39.05,26.24,,24.65,,28.56,
10692,,M,121,109,19.01,28.14,21.85,29.83,34.54,15.8,,17.93,,broken,
11679,,M,28,29,5.64,8.24,5.74,9.9,none yet,,,,,,
11681,,M,32,24,5.43,9.33,6.66,10.19,,,,,,,
13644,,M,48,42,7.81,12.28,9.86,14.44,15.38,0.99,,1,,0.7,
13645,,M,50,44,8.29,12.15,9.15,14.73,15.95,0.97,,1.28,,1.56,
13646,,M,48,43,7.81,11.87,9.16,13.86,15.16,None yet,,,,,
13650,,M,52,91,8.76,12.8,9.82,15.9,Not yet,,,,,,
13653,,M,126,100,17.16,28.46,22.32,33.11,35.14,17.34,,17.13,,18.82,
13755,,M,115,103,15.95,25.36,21.67,30.91,32.25,14.86,,16.06,,16.75,
13931,,M,140,117,19.45,28.83,26.04,37.17,39.7,24.15,,25.81,,27.95,
13932,,M,154,151,22.89,34.45,28.21,42.34,44.61,23.92,,23.71,,27.41,
13998,,M,40,38,7.41,11.93,9.02,14.66,,,,,,,
13999,,M,58,51,9.37,14.87,11.8,17.93,18.91,2.16,,2.4,,2.21,
14000,,F,70,60,11.38,16.72,13.86,21.53,,,,,,,
14001,,M,81,72,13.34,19.24,15.74,22.61,24.29,4.38,,4.19,,6.45,
14002,,M,89,72,12.66,20.65,16.09,25.21,26.02,9.47,,10.42,,12.07,
14003,,M,102,85,15.07,23.04,19.18,27.08,29.38,10.36,,12.01,,12.76,
14004,,F,100,78,14.25,22.52,17.43,27.82,,,,,,,
14005,,F,96,68,15.19,23.01,18.24,28.36,,,,,,,
14006,,F,104,87,15.54,25.6,19.63,31.22,,,,,,,
14007,,M,101,88,14.47,24.13,18.45,26.28,29.79,12.96,,13.34,,13.75,
14008,,F,60,50,9.74,14.14,11.31,17.75,none yet ,,,,,,
